,Disease_code,nb_proteins,Disease,Disease_category
28,DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION,7,"Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced",Chapter XI Diseases of the digestive system
29,E4_ENDOGLAND,125,Disorders of other endocrine glands,"Chapter IV Endocrine, nutritional and metabolic diseases"
30,E4_FLUIDELECTRO,505,"Other disorders of fluid, electrolyte and acid-base balance","Chapter IV Endocrine, nutritional and metabolic diseases"
31,E4_HYPERCHOL,576,Pure hypercholesterolaemia,"Chapter IV Endocrine, nutritional and metabolic diseases"
32,E4_HYPERLIPNAS,157,"Hyperlipidaemia, other/unspecified","Chapter IV Endocrine, nutritional and metabolic diseases"
33,E4_LIPOPROT,604,Disorders of lipoprotein metabolism and other lipidaemias,"Chapter IV Endocrine, nutritional and metabolic diseases"
34,E4_METABOLIA,720,Metabolic disorders,"Chapter IV Endocrine, nutritional and metabolic diseases"
35,E4_OBESITY,116,Obesity,"Chapter IV Endocrine, nutritional and metabolic diseases"
36,E4_OBESITYNAS,115,"Obesity, other/unspecified","Chapter IV Endocrine, nutritional and metabolic diseases"
37,E4_THYROID,261,Disorders of the thyroid gland,"Chapter IV Endocrine, nutritional and metabolic diseases"
38,E4_VOLUME,348,Volume depletion,"Chapter IV Endocrine, nutritional and metabolic diseases"
39,F5_ALCOHOLAC,15,Acute alcohol intoxication,Chapter V Mental and behavioural disorders
40,F5_ALCOHOL_DEPENDENCE,129,Alcohol dependence,Chapter V Mental and behavioural disorders
41,F5_DEPRESSIO,247,Depression,Chapter V Mental and behavioural disorders
42,F5_DEPRESSION_DYSTHYMIA,242,Depression or dysthymia,Chapter V Mental and behavioural disorders
43,FALLS,25,Falls/tendency to fall,Chapter VI Diseases of the nervous system
44,G6_CARPTU,14,Carpal tunnel syndrome,Chapter VI Diseases of the nervous system
45,G6_CPETAL,24,Cerebral palsy and other paralytic syndromes,Chapter VI Diseases of the nervous system
46,G6_EPIPAROX,152,Episodal and paroxysmal disorders,Chapter VI Diseases of the nervous system
47,G6_EPLEPSY,103,Epilepsy,Chapter VI Diseases of the nervous system
48,G6_HEMIPLE,16,Hemiplegia,Chapter VI Diseases of the nervous system
49,G6_MS,27,MS-disease / Multiple Sclerosis,Chapter VI Diseases of the nervous system
50,G6_NERPLEX,66,"Nerve, nerve root and plexus disorders",Chapter VI Diseases of the nervous system
51,G6_OTHNEU,40,Other neurological diseases,Chapter VI Diseases of the nervous system
52,G6_ROOTPLEXOTHUNS,1,"Other and unspecified nerve root and plexus disorders, also in other diseases",Chapter VI Diseases of the nervous system
53,GOUT_NOS,186,"Gout, unspecified",Chapter XIII Diseases of the musculoskeletal system and connective tissue
54,H7_CATARACTOTHER,83,Other cataract,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process"
55,H7_CATARACTSENILE,11,Senile cataract,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process"
56,H7_CHOROIDRETINA,176,Disorders of choroid and retina,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process"
57,H7_GLAUCNAS,1,Other and unspecified glaucoma,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process"
58,H7_GLAUCOMA,1,Glaucoma,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process"
59,H7_OCUMUSCLE,1,"Disorders of ocular muscles, binocular movement, accommodation and refraction","Chapter VII Diseases of the eye, adnexa, ear and mastoid process"
60,I9_AF,655,Atrial fibrillation and flutter,Chapter IX Diseases of the circulatory system
61,I9_ANGINA,429,Angina pectoris,Chapter IX Diseases of the circulatory system
62,I9_ARTOTH,170,Other diseases of arteries and capillaries,Chapter IX Diseases of the circulatory system
63,I9_CARDMYO,172,Cardiomyopathy,Chapter IX Diseases of the circulatory system
64,I9_CHD,315,Major coronary heart disease event,Chapter IX Diseases of the circulatory system
65,I9_CONDUCTIO,143,Conduction disorders,Chapter IX Diseases of the circulatory system
66,I9_CORATHER,561,Coronary atherosclerosis,Chapter IX Diseases of the circulatory system
67,I9_HEARTFAIL,609,"Heart failure, strict",Chapter IX Diseases of the circulatory system
68,I9_HYPOTE,114,Hypotension,Chapter IX Diseases of the circulatory system
69,I9_HYPTENSESS,876,"Hypertension, essential",Chapter IX Diseases of the circulatory system
70,I9_HYPTENS,901,Hypertension,Chapter IX Diseases of the circulatory system
71,I9_HYPTENSPUL,307,"Hypertension, Pulmonary Arterial",Chapter IX Diseases of the circulatory system
72,I9_HYPTENSRD,803,Hypertensive Renal Disease,Chapter IX Diseases of the circulatory system
73,I9_IHD,609,"Ischaemic heart disease, wide definition",Chapter IX Diseases of the circulatory system
74,I9_K_CARDIAC,899,Death due to cardiac causes,Chapter IX Diseases of the circulatory system
75,I9_MI_STRICT,274,"Myocardial infarction, strict",Chapter IX Diseases of the circulatory system
76,I9_OTHARR,39,Other arrhythmias,Chapter IX Diseases of the circulatory system
77,I9_OTHILLHEART,277,Other or ill-defined heart diseases,Chapter IX Diseases of the circulatory system
78,I9_OTHPER,388,Other peripheral vascular diseases,Chapter IX Diseases of the circulatory system
79,I9_PAROXTAC,128,Paroxysmal tachycardia,Chapter IX Diseases of the circulatory system
80,I9_PHLETHROMBDVTLOW,144,DVT of lower extremities,Chapter IX Diseases of the circulatory system
81,I9_PHLETHROM,128,Phlebitis and thrombophlebitis (not including DVT),Chapter IX Diseases of the circulatory system
82,I9_PULMEMB,103,Pulmonary embolism,Chapter IX Diseases of the circulatory system
83,I9_RHEUVALV,133,Rheumatic valve diseases,Chapter IX Diseases of the circulatory system
84,I9_SECONDRIGHT,248,Secondary right heart disease,Chapter IX Diseases of the circulatory system
85,I9_STR,256,"Stroke, excluding SAH",Chapter IX Diseases of the circulatory system
86,I9_TIA,58,Transient ischemic attack,Chapter IX Diseases of the circulatory system
87,I9_UAP,168,Unstable angina pectoris,Chapter IX Diseases of the circulatory system
88,I9_VARICVE,4,Varicose veins,Chapter IX Diseases of the circulatory system
89,I9_VTE,228,Venous thromboembolism,Chapter IX Diseases of the circulatory system
90,ILD,274,Interstitial lung disease,Chapter X Diseases of the respiratory system
91,IPF,236,Idiopathic pulmonary fibrosis,Chapter X Diseases of the respiratory system
92,J10_ACUTELOWERNAS,298,Unspecified acute lower respiratory infection,Chapter X Diseases of the respiratory system
93,J10_ASTHMA_EXMORE,445,"Asthma, excluding more controls",Chapter X Diseases of the respiratory system
94,J10_CHRONSINUSITIS,2,Chronic sinusitis,Chapter X Diseases of the respiratory system
95,J10_INFLUPNEU,480,Influenza and pneumonia,Chapter X Diseases of the respiratory system
96,J10_LOWCHRON,511,Chronic lower respiratory diseases,Chapter X Diseases of the respiratory system
97,J10_LOWERINF,304,Other acute lower respiratory infections,Chapter X Diseases of the respiratory system
98,J10_NASALPOLYP,9,Nasal polyp,Chapter X Diseases of the respiratory system
99,J10_PLEURA,508,Other diseases of pleura,Chapter X Diseases of the respiratory system
100,J10_PLEUREFFUSION,339,Pleural effusion,Chapter X Diseases of the respiratory system
101,J10_UPPERDIS,6,Other diseases of upper respiratory tract,Chapter X Diseases of the respiratory system
102,J10_UPPERINFEC,1,Acute upper respiratory infections,Chapter X Diseases of the respiratory system
103,J10_VOCALLARYNX,1,"Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified",Chapter X Diseases of the respiratory system
104,JOINTPAIN,84,Pain in joint,Chapter XIII Diseases of the musculoskeletal system and connective tissue
105,K11_ABSCANAL,1,Abscess of anal and rectal regions,Chapter XI Diseases of the digestive system
106,K11_ACUTPANC,12,Acute pancreatitis,Chapter XI Diseases of the digestive system
107,K11_BILIAOTH,53,Other diseases of biliary tract,Chapter XI Diseases of the digestive system
108,K11_CD_STRICT2,185,"Crohn disease (strict definition, require KELA, min 2 HDR)",Chapter XI Diseases of the digestive system
109,K11_CHOLECYST,6,Cholecystitis,Chapter XI Diseases of the digestive system
110,K11_CHOLELITH,125,Cholelithiasis,Chapter XI Diseases of the digestive system
111,K11_CHRONGASTR,6,Chronic gastritis,Chapter XI Diseases of the digestive system
112,K11_COELIAC,92,Coeliac disease,Chapter XI Diseases of the digestive system
113,K11_CONSTIPATION,101,Constipation,Chapter XI Diseases of the digestive system
114,K11_DIAHER,154,Diaphragmatic hernia,Chapter XI Diseases of the digestive system
115,K11_DISLIVOTH,231,Other diseases of liver,Chapter XI Diseases of the digestive system
116,K11_DIVERTIC,155,Diverticular disease of intestine,Chapter XI Diseases of the digestive system
117,K11_DULC,26,Duodenal ulcer,Chapter XI Diseases of the digestive system
118,K11_ENERCOLNONINF,460,Noninfective enteritis and colitis,Chapter XI Diseases of the digestive system
119,K11_FUNCDYSP,11,Functional dyspepsia,Chapter XI Diseases of the digestive system
120,K11_GASTRODUOULC,123,Gastroduodenal ulcer,Chapter XI Diseases of the digestive system
121,K11_GULC,62,Gastric ulcer,Chapter XI Diseases of the digestive system
122,K11_HERING,1,Inguinal hernia,Chapter XI Diseases of the digestive system
123,K11_HERNIA,118,Hernia,Chapter XI Diseases of the digestive system
124,K11_IBS,13,Irritable bowel syndrome,Chapter XI Diseases of the digestive system
125,K11_ILEUS,18,Paralytic ileus and intestinal obstruction,Chapter XI Diseases of the digestive system
126,K11_INTESTOTH,370,Other diseases of intestines,Chapter XI Diseases of the digestive system
127,K11_LIVER,646,Diseases of liver,Chapter XI Diseases of the digestive system
128,K11_MALABSORB,97,Intestinal malabsorption,Chapter XI Diseases of the digestive system
129,K11_OESITIS,103,Oesophagitis,Chapter XI Diseases of the digestive system
130,K11_OESOBST,8,Oesophageal obstruction,Chapter XI Diseases of the digestive system
131,K11_OESSTODUO,408,"Diseases of oesophagus, stomach and duodenum",Chapter XI Diseases of the digestive system
132,K11_OESULC,62,Ulcer of oesophagus,Chapter XI Diseases of the digestive system
133,K11_ORAL,11,"Diseases of oral cavity, salivary glands and jaws",Chapter XI Diseases of the digestive system
134,K11_OTHANRECT,75,Other diseases of anus and rectum,Chapter XI Diseases of the digestive system
135,K11_OTHDIG,185,Diseases of the digestive system,Chapter XI Diseases of the digestive system
136,K11_OTHDISDIG,28,Other diseases of the digestive system,Chapter XI Diseases of the digestive system
137,K11_OTHDISOES,4,Other diseases of oesophagus,Chapter XI Diseases of the digestive system
138,K11_OTHDISSTOMDUOD,32,Other diseases of stomach and duodenum,Chapter XI Diseases of the digestive system
139,K11_OTHENTERCOL,386,Other noninfective gastroenteritis and colitis,Chapter XI Diseases of the digestive system
140,K11_OTHFUNC,169,Other functional intestinal disorders,Chapter XI Diseases of the digestive system
141,K11_OTHGASTR,245,Other gastritis (incl. Duodenitis),Chapter XI Diseases of the digestive system
142,K11_OTHILEUS,4,"Other or unspecified ileus, impaction or obstruction",Chapter XI Diseases of the digestive system
143,K11_OTHINT,29,Other diseases of intestine,Chapter XI Diseases of the digestive system
144,K11_PERITON,3,Diseases of peritoneum,Chapter XI Diseases of the digestive system
145,K11_POSTOPDIS,45,"Postprocedural disorders of digestive system, not elsewhere classified",Chapter XI Diseases of the digestive system
146,K11_REFLUX,102,Gastro-oesophageal reflux disease,Chapter XI Diseases of the digestive system
147,K11_UC_STRICT2,54,"Ulcerative colitis (strict definition, require KELA, min 2 HDR)",Chapter XI Diseases of the digestive system
148,K11_VENTHER,18,Ventral hernia,Chapter XI Diseases of the digestive system
149,KRA_PSY_ALCOH_EXMORE,15,"Alcohol abuse, main dg, excluding more controls",Chapter V Mental and behavioural disorders
150,KRA_PSY_ANXIETY_EXMORE,11,"Anxiety disorders, excluding more controls",Chapter V Mental and behavioural disorders
151,KRA_PSY_ANYMENTAL,470,Any mental disorder,Chapter V Mental and behavioural disorders
152,KRA_PSY_SCHIZODEL_EXMORE,20,"Schizophrenia or delusion, excluding more controls",Chapter V Mental and behavioural disorders
153,KRA_PSY_SUBSTANCE_EXMORE,289,"Substance abuse, excluding more controls",Chapter V Mental and behavioural disorders
154,L12_ABSCESS_CUT,1,"Cutaneous abscess, furuncle and carbuncle",Chapter XII Diseases of the skin and subcutaneous tissue
155,L12_CELLULITIS,219,Cellulitis,Chapter XII Diseases of the skin and subcutaneous tissue
156,L12_INFECT_SKIN,175,Infections of the skin and subcutaneous tissue,Chapter XII Diseases of the skin and subcutaneous tissue
157,L12_NAILDIS,4,Nail disorders,Chapter XII Diseases of the skin and subcutaneous tissue
158,L12_OTHERSKINSUBCUTIS,91,Other disorders of skin and subcutaneous tissue,Chapter XII Diseases of the skin and subcutaneous tissue
159,L12_PAPULOSQUAMOUS,35,Papulosquamous disorders,Chapter XII Diseases of the skin and subcutaneous tissue
160,L12_PSORIASIS,68,Psoriasis,Chapter XII Diseases of the skin and subcutaneous tissue
161,L12_PSORI_NAS,37,Other and unspecified psoriasis,Chapter XII Diseases of the skin and subcutaneous tissue
162,M13_ARTHROPATHIES,487,Arthropathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
163,M13_ARTHROSIS_INCLAVO,216,"Artrosis, including avohilmo",Chapter XIII Diseases of the musculoskeletal system and connective tissue
164,M13_ARTHROSIS_KNEE,77,Gonarthrosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
165,M13_ARTHROSIS,289,Arthrosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
166,M13_ARTHROSIS_OTH,197,Other arthrosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
167,M13_ARTHROSIS_POLY,8,Polyarthrosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
168,M13_ARTHTROSIS_COX,56,Coxarthrosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
169,M13_ARTHTROSIS_COX_PRIM_ICD10,23,"Coxarthrosis, primary",Chapter XIII Diseases of the musculoskeletal system and connective tissue
170,M13_BONECONTINUITY,1,Disorders of continuity of bone,Chapter XIII Diseases of the musculoskeletal system and connective tissue
171,M13_CERVICALGIA,2,Cervicalgia,Chapter XIII Diseases of the musculoskeletal system and connective tissue
172,M13_CERVICDISC,1,Cervical disc disorders,Chapter XIII Diseases of the musculoskeletal system and connective tissue
173,M13_DEFORMDORSO,13,Deforming dorsopathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
174,M13_DORSALGIANAS,7,Other/unspecified dorsalgia,Chapter XIII Diseases of the musculoskeletal system and connective tissue
175,M13_DORSOPATHY,241,Dorsopathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
176,M13_DORSOPATHYOTH,165,"Other dorsopathies, not elsewhere classified",Chapter XIII Diseases of the musculoskeletal system and connective tissue
177,M13_ENTESOPATHYOTH,1,Other enthesopathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
178,M13_GOUT,200,Gout,Chapter XIII Diseases of the musculoskeletal system and connective tissue
179,M13_HALLUXRIGIDUS,1,Hallux rigidus,Chapter XIII Diseases of the musculoskeletal system and connective tissue
180,M13_HALLUXVALGUS,2,Hallux valgus (acquired),Chapter XIII Diseases of the musculoskeletal system and connective tissue
181,M13_INTERVERTEB,18,Other intervertebral disc disorders,Chapter XIII Diseases of the musculoskeletal system and connective tissue
182,M13_KNEEDERANGEMENTS,7,Internal derangement of knee,Chapter XIII Diseases of the musculoskeletal system and connective tissue
183,M13_LIMBPAIN,53,Pain in limb,Chapter XIII Diseases of the musculoskeletal system and connective tissue
184,M13_LOWBACKPAIN,94,Low back pain,Chapter XIII Diseases of the musculoskeletal system and connective tissue
185,M13_MENISCUSDERANGEMENTS,6,Meniscus derangement,Chapter XIII Diseases of the musculoskeletal system and connective tissue
186,M13_OSTEOCHONDRO,174,Osteopathies and chondropathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
187,M13_OSTEOPOROSIS,94,Osteoporosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
188,M13_OTHERJOINT,147,Other joint disorders,Chapter XIII Diseases of the musculoskeletal system and connective tissue
189,M13_POLYARTHROPATHIES,582,Polyarthropathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
190,M13_RHEUMA,529,Rheumatoid arthritis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
191,M13_SHOULDER,3,Shoulder lesions,Chapter XIII Diseases of the musculoskeletal system and connective tissue
192,M13_SOFTOVERUSE,1,"Soft tissue disorders related to use, overuse and pressure",Chapter XIII Diseases of the musculoskeletal system and connective tissue
193,M13_SOFTTISSUE,206,Soft tissue disorders,Chapter XIII Diseases of the musculoskeletal system and connective tissue
194,M13_SOFTTISSUENAS,42,Other specified/unspecified soft tissue disorders,Chapter XIII Diseases of the musculoskeletal system and connective tissue
195,M13_SOFTTISSUEOTH,175,"Other soft tissue disorders, not elsewhere classified",Chapter XIII Diseases of the musculoskeletal system and connective tissue
196,M13_SPINSTENOSIS,11,Spinal stenosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
197,M13_SPONDYLOPATHY,123,Spondylopathies,Chapter XIII Diseases of the musculoskeletal system and connective tissue
198,M13_SPONDYLOSIS,50,Spondylosis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
199,M13_SYNOTEND,8,Disorders of synovium and tendon,Chapter XIII Diseases of the musculoskeletal system and connective tissue
200,M13_TENDOSYNOVITISNAS,5,Other/unspecified synovitis and tenosynovitis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
201,M13_TOEDEFORMOTH,1,Other deformities of toe(s),Chapter XIII Diseases of the musculoskeletal system and connective tissue
202,M13_TRIGGERFINGER,1,Trigger finger,Chapter XIII Diseases of the musculoskeletal system and connective tissue
203,N14_ACUTERENFAIL,650,Acute renal failure,Chapter XIV Diseases of the genitourinary system
204,N14_CALCUKIDUR,19,Calculus of kidney and ureter,Chapter XIV Diseases of the genitourinary system
205,N14_CHRONKIDNEYDIS,902,Chronic kidney disease,Chapter XIV Diseases of the genitourinary system
206,N14_CYSTITIS,39,Cystitis,Chapter XIV Diseases of the genitourinary system
207,N14_ENDOMETRIOSIS,3,Endometriosis,Chapter XIV Diseases of the genitourinary system
208,N14_EROSECTROPUT,11,Erosion and ectropion of cervix uteri,Chapter XIV Diseases of the genitourinary system
209,N14_FEMALEGENNONINF,10,Noninflammatory disorders of female genital tract,Chapter XIV Diseases of the genitourinary system
210,N14_FEMGENPAIN,1,Pain and other conditions associated with female genital organs and menstrual cycle,Chapter XIV Diseases of the genitourinary system
211,N14_FEMGENPROL,17,Female genital prolapse,Chapter XIV Diseases of the genitourinary system
212,N14_KIDUROTH,480,Other disorders of kidney and ureter,Chapter XIV Diseases of the genitourinary system
213,N14_MALEGEN,38,Diseases of male genital organs,Chapter XIV Diseases of the genitourinary system
214,N14_MENORRHAGIA,2,Menorrhagia,Chapter XIV Diseases of the genitourinary system
215,N14_MENSIRREG,2,Irregular menses,Chapter XIV Diseases of the genitourinary system
216,N14_MESNRUIRREG,2,"Excessive, frequent and irregular menstruation",Chapter XIV Diseases of the genitourinary system
217,N14_NEUROMUSCDYSBLADD,6,Neuromuscular dysfunction of bladder,Chapter XIV Diseases of the genitourinary system
218,N14_OBSTRUREFLUROPATH,196,Other obstructive and reflux uropathy,Chapter XIV Diseases of the genitourinary system
219,N14_OTHBLADD,38,Other disorders of  bladder,Chapter XIV Diseases of the genitourinary system
220,N14_OTHDISMALEGEN,1,Other disorders of male genital organs,Chapter XIV Diseases of the genitourinary system
221,N14_OVARYCYST,1,Ovarian cyst,Chapter XIV Diseases of the genitourinary system
222,N14_PROSTATITIS,2,Inflammatory diseases of prostate (prostatitis),Chapter XIV Diseases of the genitourinary system
223,N14_PROSTHYPERPLA,5,Hyperplasia of prostate,Chapter XIV Diseases of the genitourinary system
224,N14_RENALTUB,878,Renal tubulo-interstitial diseases,Chapter XIV Diseases of the genitourinary system
225,N14_RENFAILNAS,764,Unspecified kidney failure,Chapter XIV Diseases of the genitourinary system
226,N14_URETHRALSTRICT,27,Urethral stricture,Chapter XIV Diseases of the genitourinary system
227,N14_URETHRAOTH,251,Other disorders of urethra and urinary system,Chapter XIV Diseases of the genitourinary system
228,N14_URINOTH,278,Other diseases of urinary system,Chapter XIV Diseases of the genitourinary system
229,NEURODEGOTH,27,Other degenerative diseases of the nervous system,Chapter VI Diseases of the nervous system
230,O15_COMPLIC_LAB_DELIV,24,Complications of labour and delivery,"Chapter XV Pregnancy, childbirth and the puerperium"
231,O15_DELIV_PERIN_LACER,13,Perineal laceration during delivery,"Chapter XV Pregnancy, childbirth and the puerperium"
232,O15_DELIV_SPONT,1,Single spontaneous delivery,"Chapter XV Pregnancy, childbirth and the puerperium"
233,O15_LABOUR_FETAL_STRESS,6,Labour and delivery complicated by fetal stress [distress],"Chapter XV Pregnancy, childbirth and the puerperium"
234,O15_LABOUR_LONG,1,Long labour,"Chapter XV Pregnancy, childbirth and the puerperium"
235,O15_MATERN_CARE,8,Maternal care related to the fetus and amniotic cavity and possible delivery problems,"Chapter XV Pregnancy, childbirth and the puerperium"
236,O15_PREG_PROLONGED,1,Prolonged pregnancy,"Chapter XV Pregnancy, childbirth and the puerperium"
237,RHEUMA_NOS,499,Other/unspecified rheumatoid arthritis,Chapter XIII Diseases of the musculoskeletal system and connective tissue
238,RHEUMA_OTHER_WIDE,496,"Other (seronegative) rheumatoid arthritis, wide",Chapter XIII Diseases of the musculoskeletal system and connective tissue
239,SMOKING_DEPEND,123,Smoking dependency,Chapter V Mental and behavioural disorders
240,ULCERNAS,81,"Ulcerative colitis, NAS",Chapter XI Diseases of the digestive system
241,VOCALCORDDYS,7,Vocal cord dysfunction,Chapter X Diseases of the respiratory system
