Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KCTD5,BTB/POZ domain-containing protein KCTD5,48410,0.0118319909982718,0.00373590810300179,0.00450961111638834,0.0191543708801553,0.00154201396687997
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LBR,Delta(14)-sterol reductase LBR,52166,0.0178192906489312,0.00564564340011338,0.00675382958470896,0.0288847517131534,0.00159990798686814
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MYOC,Myocilin,51969,0.0114854178860549,0.00364267891522534,0.00434576721221324,0.0186250685598966,0.00161798391769822
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SCGN,Secretagogin,51550,0.0112247538442368,0.00357762705540124,0.00421260481565041,0.0182369028728233,0.00170619072639113
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ATXN3,Ataxin-3,48794,0.0155911294022289,0.0050115471150813,0.00576849705666956,0.0254137617477882,0.00186688703422146
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IMPACT,Protein IMPACT,48794,0.0137445847694485,0.00442064716814126,0.0050801163198916,0.0224090532190053,0.00187868642165167
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GSTP1,Glutathione S-transferase P,51299,0.0174373781804392,0.00561241990723927,0.00643703516225022,0.0284377211986281,0.00189276348616725
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BOLA2_BOLA2B,BolA-like protein 2,48283,0.0133505513575282,0.00429934250871392,0.00492384004044894,0.0217772626746075,0.00190385487776412
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PSMG4,Proteasome assembly chaperone 4,48252,0.014361031332616,0.00464065134892674,0.0052653546887196,0.0234567079765124,0.00197344955056491
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LXN,Latexin,51647,0.017439363743028,0.00564247638147235,0.00638011003534221,0.0284986174507138,0.00199903931686807
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TSPAN15,Tetraspanin-15,48148,-0.0123587544851631,0.00402658861995221,-0.0202508681802694,-0.00446664079005676,0.00214864559486746
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,POF1B,Protein POF1B,48252,0.0111150297610802,0.00362397160048686,0.00401204542412593,0.0182180140980344,0.00216450967688343
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,VASN,Vasorin,51618,-0.00673976188171657,0.00221426808428058,-0.0110797273269065,-0.00239979643652664,0.00233883547618157
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KIRREL2,Kin of IRRE-like protein 2,51447,0.00972105397519731,0.00322760573595831,0.00339494673271903,0.0160471612176756,0.00259947606632126
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,UROD,Uroporphyrinogen decarboxylase,48385,0.0163510681700001,0.00547123593428117,0.00562744573880899,0.0270746906011912,0.00280647752199756
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GNPDA1,Glucosamine-6-phosphate isomerase 1,48283,0.00814642899730659,0.00272713233090256,0.00280124962873757,0.0134916083658756,0.00281912857439055
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LRP1,Prolow-density lipoprotein receptor-related protein 1,51847,0.0064859424786681,0.00217364470734082,0.00222559885228009,0.0107462861050561,0.00284893710630451
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,HDDC2,5'-deoxynucleotidase HDDC2,48778,0.0106591612841015,0.00357307148310407,0.00365594117721753,0.0176623813909855,0.00285599343625017
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LMOD1,Leiomodin-1,48801,0.00842980616566659,0.00282630168306412,0.00289025486686091,0.0139693574644723,0.00286126393872506
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,REG3A,Regenerating islet-derived protein 3-alpha,52250,0.0151124881618264,0.00508490774481318,0.00514606898199253,0.0250789073416602,0.00296137457375807
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CAT,Catalase,48573,0.0128750064388433,0.00433417224958166,0.00438002882966329,0.0213699840480234,0.00297591363769321
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NRP1,Neuropilin-1,52108,0.00649399583494243,0.00220648198444219,0.00216929114543573,0.0108187005244491,0.0032521395698169
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ZHX2,Zinc fingers and homeoboxes protein 2,48794,0.00838055481603983,0.0028521577035022,0.00279032571717552,0.0139707839149041,0.00330368330756733
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KLK12,Kallikrein-12,51406,0.0316441875860277,0.0107747808088215,0.0105256172007375,0.0527627579713179,0.00331868746965793
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DNAJB2,DnaJ homolog subfamily B member 2,48385,0.0126221888505505,0.00432430233375006,0.00414655627640037,0.0210978214247006,0.00351669143950558
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,48801,0.0119146946503072,0.00408293754815726,0.00391213705591896,0.0199172522446954,0.00352483605667416
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MTR,Methionine synthase,48148,0.0153175425959783,0.00530637638917816,0.00491704487318908,0.0257180403187675,0.00389818938356929
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,AARSD1,Alanyl-tRNA editing protein Aarsd1,51847,0.0127998228930413,0.00446238765564254,0.00405354308798188,0.0215461026981006,0.00412951160368816
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,HDGFL2,Hepatoma-derived growth factor-related protein 2,48794,0.0148241834297799,0.00522141903288203,0.00459020212533115,0.0250581647342287,0.00452847089546252
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,51761,0.00967888934371504,0.00346200740798547,0.00289335482406352,0.0164644238633666,0.00518228946284031
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NSFL1C,NSFL1 cofactor p47,52166,0.0144566330048087,0.00517111016599538,0.00432125707945771,0.0245920089301596,0.00518367797110219
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GLYR1,Putative oxidoreductase GLYR1,48767,0.0132612139110943,0.00474480215590759,0.0039614016855154,0.0225610261366731,0.00519659460437606
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MYL4,Myosin light chain 4,48283,0.0121126979500505,0.00434052981353722,0.00360525951551754,0.0206201363845834,0.00526604987182285
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CXCL9,C-X-C motif chemokine 9,52044,0.014707199618598,0.00527239045915763,0.00437331431864903,0.0250410849185469,0.00528362203847393
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KRT19,"Keratin, type I cytoskeletal 19",51892,0.0152302202053679,0.00546074749199662,0.00452715512105455,0.0259332852896813,0.0052908127933325
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL32,Interleukin-32,51933,0.00990753603557122,0.00356130499420107,0.00292737824693712,0.0168876938242053,0.00540690893507577
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DDC,Aromatic-L-amino-acid decarboxylase,51924,0.0107006355836316,0.00385616583600715,0.00314255054505759,0.0182587206222056,0.00552555339296652
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SPINK1,Serine protease inhibitor Kazal-type 1,51969,0.00921399710981472,0.00334403620463879,0.00265968614872269,0.0157683080709067,0.00586744037774451
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,C2CD2L,Phospholipid transfer protein C2CD2L,51415,0.00926706062556869,0.00336578894650767,0.00267011429041366,0.0158640069607237,0.00590426539782843
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DXO,Decapping and exoribonuclease protein,48794,0.0100436244962317,0.00366594934497078,0.00285836378008901,0.0172288852123745,0.0061548094152949
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PAM,Peptidyl-glycine alpha-amidating monooxygenase,52152,0.00627463696044724,0.00229268884777046,0.00178096681881714,0.0107683071020773,0.00620860138305984
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NAGK,N-acetyl-D-glucosamine kinase,48250,0.0127115093373133,0.00464566974881759,0.00360599662963082,0.0218170220449958,0.00622079248952936
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PI3,Elafin,51656,0.0122969985005457,0.00449703237154165,0.00348281505232402,0.0211111819487673,0.00625285681195315
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SWAP70,Switch-associated protein 70,48778,0.00802451595483228,0.00294159140692274,0.00225899679726372,0.0137900351124008,0.00637842894014332
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,51955,0.014233241590336,0.00523789229810295,0.00396697268605417,0.0244995104946177,0.00658533913836865
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TREM2,Triggering receptor expressed on myeloid cells 2,51928,-0.0118730739420272,0.0043788631977253,-0.0204556458095688,-0.00329050207448558,0.00670384439366093
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14,48794,0.0136583974596195,0.00505537793543048,0.00374985670617576,0.0235669382130633,0.00690319613347012
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BCL2L15,Bcl-2-like protein 15,48252,0.0129034499749189,0.00477929398685284,0.00353603376068736,0.0222708661891505,0.00694269263497093
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,EGFL7,Epidermal growth factor-like protein 7,51406,0.00855524420846238,0.00317640438617487,0.00232949161155964,0.0147809968053651,0.00707846441863725
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CCL11,Eotaxin,52231,0.00816878313181678,0.00304406247542266,0.00220242067998836,0.0141351455836452,0.0072903742550644
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BMP10,Bone morphogenetic protein 10,48385,0.0061687910578723,0.00229933007916794,0.00166210410270314,0.0106754780130415,0.0073055223031674
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CXCL5,C-X-C motif chemokine 5,51876,0.024679920020109,0.00920542031114184,0.00663729621027104,0.042722543829947,0.0073449755450087
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BPIFA2,BPI fold-containing family A member 2,47623,0.0238813116143183,0.00893454964386368,0.00636959431234544,0.0413930289162911,0.00752589425162124
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PEBP1,Phosphatidylethanolamine-binding protein 1,51969,0.0123433885130396,0.00462558866294128,0.00327723473367469,0.0214095422924045,0.00762431140743979
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,48778,0.010755655841169,0.00403391675489204,0.00284917900158064,0.0186621326807574,0.00767510140282674
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,AMBP,Protein AMBP,52127,-0.00432392765710699,0.00162255019722499,-0.00750412604366798,-0.001143729270546,0.00770646616111812
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PPME1,Protein phosphatase methylesterase 1,51847,0.0127521116878937,0.00479325652545631,0.00335732889799938,0.0221468944777881,0.00780950819878224
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,WDR46,WD repeat-containing protein 46,48767,0.00805386885556029,0.00302804067945276,0.00211890912383288,0.0139888285872877,0.00782575988222082
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SBSN,Suprabasin,48819,0.00758404442730288,0.00285224858313898,0.00199363720435048,0.0131744516502553,0.00784415942413409
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ATXN2L,Ataxin-2-like protein,48801,0.0102024482735717,0.003845681687442,0.00266491216618537,0.017739984380958,0.00798511921312581
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,EBI3_IL27,Interleukin-27,52135,0.00653359256322346,0.00246430013193389,0.00170356430463303,0.0113636208218139,0.00802368979778566
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ATP6V1F,V-type proton ATPase subunit F,51415,0.0144163468050393,0.00543900967021407,0.00375588785141969,0.0250768057586588,0.00804171786549278
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ST13,Hsc70-interacting protein,48385,0.0117568656643517,0.00443775023707065,0.00305887519969326,0.0204548561290102,0.00807263342793985
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,51761,0.0169235524136856,0.00639872815903115,0.00438204522198457,0.0294650596053867,0.00817869445554638
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CA9,Carbonic anhydrase 9,52163,0.0100260980575511,0.00379120829686253,0.00259532979570052,0.0174568663194016,0.00818501313031392
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BTN1A1,Butyrophilin subfamily 1 member A1,48728,-0.00809101651516849,0.00307337181075982,-0.0141148252642577,-0.00206720776607925,0.00847940714824283
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,51847,-0.0078148456496643,0.00297286088321965,-0.0136416529807748,-0.00198803831855378,0.00857609869797839
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,FGFR4,Fibroblast growth factor receptor 4,48385,-0.0111497114716585,0.00425386621880525,-0.0194872892605168,-0.00281213368280023,0.00877194564976371
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PSME1,Proteasome activator complex subunit 1,51718,0.00777764827053407,0.00297153534855348,0.00195343898736924,0.0136018575536989,0.00886643667367101
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,STIP1,Stress-induced-phosphoprotein 1,51923,0.01365572605101,0.0052247239123133,0.00341526718287598,0.0238961849191441,0.00896319326464522
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TALDO1,Transaldolase,48786,0.0093817428541394,0.003594978222237,0.00233558553855488,0.0164279001697239,0.0090693826834376
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DNPEP,Aspartyl aminopeptidase,48794,0.0118715339573652,0.00457894291428741,0.00289680584536189,0.0208462620693686,0.00953120506435549
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GBP1,Guanylate-binding protein 1,48755,0.0134983663840719,0.0052559004312167,0.00319680153888715,0.0237999312292566,0.0102290383710512
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,52166,0.0116464859785217,0.00454922991166642,0.00272999535165552,0.0205629766053879,0.0104703667983769
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,RILP,Rab-interacting lysosomal protein,52099,0.012342259503782,0.00482561142695296,0.00288406110695423,0.0218004579006098,0.0105442122033731
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PLA2G7,Platelet-activating factor acetylhydrolase,51969,-0.0066724198567309,0.00261641476240989,-0.0118005927910543,-0.00154424692240751,0.0107719768969192
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MAPK13,Mitogen-activated protein kinase 13,48131,0.00907422211963463,0.0035797675774934,0.00205787766774756,0.0160905665715217,0.0112568531151432
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LPO,Lactoperoxidase,51137,0.0126873520157276,0.00500995629251013,0.00286783768240777,0.0225068663490475,0.0113343025533585
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PRR4,Proline-rich protein 4,48235,0.0145247310792208,0.00574714384031069,0.00326032915221188,0.0257891330062298,0.0115022543025678
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LIFR,Leukemia inhibitory factor receptor,51933,0.00493745758501316,0.00195398092594194,0.00110765497016696,0.00876726019985936,0.0115149313852355
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PSMD1,26S proteasome non-ATPase regulatory subunit 1,48801,0.0101340704432921,0.00401425699630448,0.0022661267305353,0.0180020141560489,0.0115932486830311
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,YOD1,Ubiquitin thioesterase OTU1,48148,0.0126891607192561,0.00504245002998821,0.00280595866047922,0.022572362778033,0.0118617284052263
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,XG,Glycoprotein Xg,52142,-0.0070285232720121,0.00279668620802088,-0.012510028239733,-0.00154701830429118,0.0119720879433978
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TFF2,Trefoil factor 2,52010,0.0118323629869207,0.00470926529890703,0.00260220300106288,0.0210625229727784,0.0119921679353068
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL18R1,Interleukin-18 receptor 1,52231,-0.0067072281345894,0.00267482059028999,-0.0119498764915578,-0.00146457977762102,0.0121640240012097
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SLC27A4,Long-chain fatty acid transport protein 4,51447,0.0137502701091846,0.00549104627539911,0.00298781940940232,0.0245127208089668,0.0122823544126222
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL22,Interleukin-22,48767,0.0141218343460131,0.00564171913847654,0.00306406483459908,0.0251796038574271,0.01231862774172
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CCS,Copper chaperone for superoxide dismutase,51761,0.00947936718115724,0.00378838373976218,0.00205413505122336,0.0169045993110911,0.0123485803205442
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PPCDC,Phosphopantothenoylcysteine decarboxylase,52166,0.00943721753158541,0.00377920327642786,0.00202997910978681,0.016844455953384,0.0125265533177886
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CDCP1,CUB domain-containing protein 1,51761,-0.0112850510320567,0.00452416703398149,-0.0201524184186605,-0.00241768364545301,0.0126241860822445
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ADAMTSL2,ADAMTS-like protein 2,48854,0.00688546159322698,0.00276500337270337,0.00146605498272837,0.0123048682037256,0.0127744230013449
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SNAPIN,SNARE-associated protein Snapin,48801,0.0117612912206819,0.00472431526170808,0.00250163330773403,0.0210209491336297,0.0127994472114807
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SNRPB2,U2 small nuclear ribonucleoprotein B'',48794,0.00955317434107085,0.00385579970715929,0.00199580691503864,0.0171105417671031,0.0132346180251799
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ADD1,Alpha-adducin,48385,0.0140517551735524,0.00567422015000952,0.0029302836795337,0.025173226667571,0.0132790152815837
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CPVL,Probable serine carboxypeptidase CPVL,52115,0.00819699070787525,0.00331158135126267,0.00170629125940042,0.0146876901563501,0.0133212986174495
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TSNAX,Translin-associated protein X,48148,0.00800954521308693,0.00324242868632011,0.00165438498789952,0.0143647054382743,0.0135110840960092
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",51969,0.00923399191403847,0.00375823321438991,0.00186785481383425,0.0166001290142427,0.0140173487549892
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PVR,Poliovirus receptor,52166,0.00747506208369232,0.00304603799093319,0.00150482762146327,0.0134452965459214,0.0141337862326961
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KLF4,Krueppel-like factor 4,48195,0.00837619132690485,0.00341480429450556,0.00168317490967395,0.0150692077441357,0.0141794178398947
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SERPINF2,Alpha-2-antiplasmin,48486,-0.00267944699170461,0.00109438990899248,-0.00482445121332987,-0.000534442770079352,0.0143598867221715
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CLNS1A,Methylosome subunit pICln,48300,0.0068112257115942,0.00279191658612798,0.00133906920278337,0.012283382220405,0.0147113296880005
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GMPR,GMP reductase 1,52231,0.00943247121652726,0.00387264229844239,0.00184209231158018,0.0170228501214744,0.0148716576483792
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PRDX1,Peroxiredoxin-1,51273,0.0178942271406495,0.0073476250618935,0.00349288201933827,0.0322955722619608,0.0148839904879678
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,AK1,Adenylate kinase isoenzyme 1,51955,0.0124533916982661,0.00511506005744554,0.00242787398567285,0.0224789094108594,0.0149135509394941
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DEFB4A_DEFB4B,Beta-defensin 4A,51613,0.0287418336228639,0.0118260251105874,0.00556282440611262,0.0519208428396152,0.0150902425921625
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PTGR1,Prostaglandin reductase 1,48840,0.016298892437253,0.00671017840291948,0.00314694276753084,0.0294508421069752,0.0151499932413468
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SF3B4,Splicing factor 3B subunit 4,51847,0.0145488442161375,0.00599036331302996,0.00280773212259881,0.0262899563096763,0.0151602546783067
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MDH1,"Malate dehydrogenase, cytoplasmic",48761,0.00780582955212323,0.00321637035151899,0.00150174366314601,0.0141099154411005,0.0152368909456007
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,YAP1,Transcriptional coactivator YAP1,48794,0.00546621480054544,0.00225894687429303,0.00103867892693109,0.00989375067415978,0.0155375294098695
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TRIM24,Transcription intermediary factor 1-alpha,48449,0.0128526057774032,0.00531630013675935,0.00243265750935487,0.0232725540454515,0.0156328467466222
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CSF1R,Macrophage colony-stimulating factor 1 receptor,48865,0.00783654762856685,0.00324626920064361,0.00147385999530538,0.0141992352618283,0.0157865505175067
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CD2AP,CD2-associated protein,51955,0.0122971725003496,0.0051112667537822,0.00227908966293648,0.0223152553377627,0.0161406096447561
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SPINT3,Kunitz-type protease inhibitor 3,48778,0.032335197462143,0.0134585609181894,0.00595641806249183,0.0587139768617942,0.0162890852294848
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CCL28,C-C motif chemokine 28,51856,0.0114097175966733,0.00475334381645671,0.0020931637164181,0.0207262714769284,0.0163869400376308
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,C7,Complement component C7,48374,0.00636426408917706,0.00265189341480396,0.0011665529961613,0.0115619751821928,0.0164089924512216
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PTPRF,Receptor-type tyrosine-protein phosphatase F,52250,-0.00545164035385387,0.00228016834306235,-0.00992077030625609,-0.000982510401451656,0.0168151848837269
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,FGFBP1,Fibroblast growth factor-binding protein 1,52020,-0.00644541162305509,0.00269871186566964,-0.0117348868797676,-0.00115593636634258,0.0169330587070391
